"('OVERALL', 'REB')","('OVERALL', 'OREB')","('OVERALL', 'DREB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'REB_FREQ')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'REB_FREQ')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'REB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'DREB')","('0-3 Feet', 'REB_FREQ')","('3-6 Feet', 'REB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'DREB')","('3-6 Feet', 'REB_FREQ')",PLAYER_ID,SEASON,TEAM_ID,"('6-10 Feet', 'REB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'DREB')","('6-10 Feet', 'REB_FREQ')","('10+ Feet', 'REB')","('10+ Feet', 'OREB')","('10+ Feet', 'DREB')","('10+ Feet', 'REB_FREQ')"
176,23,153,20,156,156.0,16.0,140.0,0.886,18.0,5.0,13.0,0.102,2.0,2.0,0.0,0.011,17.0,5.0,12.0,0.097,36.0,3.0,33.0,0.205,1630178,2022-23,1610612755,60.0,2.0,58.0,0.341,63.0,13.0,50.0,0.358
253,36,217,31,222,222.0,25.0,197.0,0.877,26.0,9.0,17.0,0.103,5.0,2.0,3.0,0.02,17.0,4.0,13.0,0.067,57.0,9.0,48.0,0.225,1630178,2023-24,1610612755,78.0,3.0,75.0,0.308,101.0,20.0,81.0,0.399
1228,420,808,570,658,658.0,105.0,553.0,0.536,477.0,237.0,240.0,0.388,93.0,78.0,15.0,0.076,541.0,196.0,345.0,0.441,525.0,152.0,373.0,0.428,203083,2018-19,1610612765,114.0,44.0,70.0,0.093,47.0,28.0,19.0,0.038
308,108,200,150,158,158.0,33.0,125.0,0.513,131.0,60.0,71.0,0.425,19.0,15.0,4.0,0.062,108.0,39.0,69.0,0.351,153.0,46.0,107.0,0.497,203083,2024-25,1610612755,28.0,12.0,16.0,0.091,19.0,11.0,8.0,0.062
1105,340,765,524,581,581.0,77.0,504.0,0.526,417.0,175.0,242.0,0.377,107.0,88.0,19.0,0.097,537.0,158.0,379.0,0.486,424.0,96.0,328.0,0.384,203083,2016-17,1610612765,81.0,42.0,39.0,0.073,62.0,44.0,18.0,0.056
215,65,150,92,123,123.0,15.0,108.0,0.572,74.0,37.0,37.0,0.344,18.0,13.0,5.0,0.084,97.0,31.0,66.0,0.451,83.0,19.0,64.0,0.386,203083,2020-21,1610612747,29.0,13.0,16.0,0.135,6.0,2.0,4.0,0.028
334,101,233,153,181,181.0,31.0,150.0,0.542,124.0,49.0,75.0,0.371,29.0,21.0,8.0,0.087,120.0,43.0,77.0,0.359,164.0,41.0,123.0,0.491,203083,2020-21,1610612739,37.0,12.0,25.0,0.111,13.0,5.0,8.0,0.039
248,93,155,128,120,120.0,16.0,104.0,0.484,95.0,48.0,47.0,0.383,33.0,29.0,4.0,0.133,101.0,41.0,60.0,0.407,112.0,39.0,73.0,0.452,203083,2021-22,1610612751,27.0,8.0,19.0,0.109,8.0,5.0,3.0,0.032
432,136,296,197,235,235.0,39.0,196.0,0.544,165.0,74.0,91.0,0.382,32.0,23.0,9.0,0.074,176.0,74.0,102.0,0.407,198.0,40.0,158.0,0.458,203083,2021-22,1610612755,48.0,16.0,32.0,0.111,10.0,6.0,4.0,0.023
1235,393,842,549,686,686.0,125.0,561.0,0.555,465.0,199.0,266.0,0.377,84.0,69.0,15.0,0.068,624.0,191.0,433.0,0.505,453.0,115.0,338.0,0.367,203083,2017-18,1610612765,98.0,47.0,51.0,0.079,57.0,37.0,20.0,0.046
442,137,305,224,218,218.0,29.0,189.0,0.493,181.0,70.0,111.0,0.41,43.0,38.0,5.0,0.097,187.0,62.0,125.0,0.423,192.0,53.0,139.0,0.434,203083,2022-23,1610612741,44.0,12.0,32.0,0.1,19.0,10.0,9.0,0.043
673,255,418,320,353,353.0,69.0,284.0,0.525,250.0,126.0,124.0,0.371,70.0,60.0,10.0,0.104,281.0,118.0,163.0,0.418,295.0,97.0,198.0,0.438,203083,2023-24,1610612741,54.0,17.0,37.0,0.08,41.0,22.0,19.0,0.061
1164,371,793,593,571,571.0,85.0,486.0,0.491,481.0,194.0,287.0,0.413,112.0,92.0,20.0,0.096,589.0,158.0,431.0,0.506,437.0,130.0,307.0,0.375,203083,2015-16,1610612765,77.0,40.0,37.0,0.066,60.0,42.0,18.0,0.052
89,24,65,34,55,55.0,6.0,49.0,0.618,29.0,14.0,15.0,0.326,5.0,4.0,1.0,0.056,33.0,11.0,22.0,0.371,41.0,6.0,35.0,0.461,203083,2019-20,1610612739,10.0,4.0,6.0,0.112,5.0,3.0,2.0,0.056
756,224,532,337,419,419.0,58.0,361.0,0.554,267.0,107.0,160.0,0.353,70.0,59.0,11.0,0.093,331.0,100.0,231.0,0.438,318.0,79.0,239.0,0.421,203083,2019-20,1610612765,71.0,26.0,45.0,0.094,36.0,19.0,17.0,0.048
144,29,115,44,100,100.0,15.0,85.0,0.694,42.0,14.0,28.0,0.292,2.0,0.0,2.0,0.014,27.0,7.0,20.0,0.188,54.0,9.0,45.0,0.375,1629656,2024-25,1610612755,32.0,3.0,29.0,0.222,31.0,10.0,21.0,0.215
179,30,149,47,132,132.0,20.0,112.0,0.737,45.0,9.0,36.0,0.251,2.0,1.0,1.0,0.011,33.0,4.0,29.0,0.184,66.0,4.0,62.0,0.369,1629656,2024-25,1610612742,37.0,5.0,32.0,0.207,43.0,17.0,26.0,0.24
12,1,11,4,8,8.0,1.0,7.0,0.667,4.0,0.0,4.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.167,5.0,0.0,5.0,0.417,1629656,2023-24,1610612765,3.0,0.0,3.0,0.25,2.0,1.0,1.0,0.167
86,14,72,18,68,68.0,11.0,57.0,0.791,15.0,1.0,14.0,0.174,3.0,2.0,1.0,0.035,13.0,0.0,13.0,0.151,31.0,4.0,27.0,0.36,1629656,2023-24,1610612752,20.0,1.0,19.0,0.233,22.0,9.0,13.0,0.256
93,23,70,24,69,69.0,13.0,56.0,0.742,22.0,8.0,14.0,0.237,2.0,2.0,0.0,0.022,12.0,3.0,9.0,0.129,30.0,1.0,29.0,0.323,1629656,2021-22,1610612752,24.0,4.0,20.0,0.258,27.0,15.0,12.0,0.29
228,49,179,63,165,165.0,30.0,135.0,0.724,59.0,17.0,42.0,0.259,4.0,2.0,2.0,0.018,40.0,6.0,34.0,0.175,81.0,10.0,71.0,0.355,1629656,2022-23,1610612752,45.0,7.0,38.0,0.197,62.0,26.0,36.0,0.272
312,41,271,74,238,238.0,18.0,220.0,0.763,69.0,20.0,49.0,0.221,5.0,3.0,2.0,0.016,38.0,9.0,29.0,0.122,89.0,5.0,84.0,0.285,200768,2018-19,1610612761,96.0,14.0,82.0,0.308,89.0,13.0,76.0,0.285
66,10,56,13,53,53.0,7.0,46.0,0.803,13.0,3.0,10.0,0.197,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.061,18.0,4.0,14.0,0.273,200768,2024-25,1610612755,21.0,3.0,18.0,0.318,23.0,1.0,22.0,0.348
283,47,236,67,216,216.0,26.0,190.0,0.763,61.0,18.0,43.0,0.216,6.0,3.0,3.0,0.021,40.0,10.0,30.0,0.141,67.0,7.0,60.0,0.237,200768,2016-17,1610612761,91.0,14.0,77.0,0.322,85.0,16.0,69.0,0.3
245,34,211,58,187,187.0,17.0,170.0,0.763,57.0,16.0,41.0,0.233,1.0,1.0,0.0,0.004,28.0,7.0,21.0,0.114,81.0,12.0,69.0,0.331,200768,2020-21,1610612761,81.0,4.0,77.0,0.331,55.0,11.0,44.0,0.224
282,33,249,54,228,228.0,20.0,208.0,0.809,51.0,11.0,40.0,0.181,3.0,2.0,1.0,0.011,27.0,7.0,20.0,0.096,84.0,6.0,78.0,0.298,200768,2021-22,1610612748,102.0,4.0,98.0,0.362,69.0,16.0,53.0,0.245
434,66,368,87,347,347.0,32.0,315.0,0.8,79.0,28.0,51.0,0.182,8.0,6.0,2.0,0.018,71.0,12.0,59.0,0.164,116.0,14.0,102.0,0.267,200768,2017-18,1610612761,130.0,13.0,117.0,0.3,117.0,27.0,90.0,0.27
225,43,182,46,179,179.0,27.0,152.0,0.796,43.0,14.0,29.0,0.191,3.0,2.0,1.0,0.013,30.0,7.0,23.0,0.133,69.0,14.0,55.0,0.307,200768,2022-23,1610612748,65.0,6.0,59.0,0.289,61.0,16.0,45.0,0.271
59,9,50,10,49,49.0,8.0,41.0,0.831,9.0,1.0,8.0,0.153,1.0,0.0,1.0,0.017,5.0,0.0,5.0,0.085,16.0,2.0,14.0,0.271,200768,2023-24,1610612755,19.0,0.0,19.0,0.322,19.0,7.0,12.0,0.322
122,24,98,32,90,90.0,12.0,78.0,0.738,30.0,10.0,20.0,0.246,2.0,2.0,0.0,0.016,19.0,8.0,11.0,0.156,32.0,5.0,27.0,0.262,200768,2023-24,1610612748,27.0,4.0,23.0,0.221,44.0,7.0,37.0,0.361
357,54,303,90,267,267.0,27.0,240.0,0.748,82.0,22.0,60.0,0.23,8.0,5.0,3.0,0.022,51.0,10.0,41.0,0.143,86.0,10.0,76.0,0.241,200768,2015-16,1610612761,123.0,21.0,102.0,0.345,96.0,12.0,84.0,0.269
287,32,255,56,231,231.0,23.0,208.0,0.805,54.0,7.0,47.0,0.188,2.0,2.0,0.0,0.007,23.0,3.0,20.0,0.08,73.0,8.0,65.0,0.254,200768,2019-20,1610612761,101.0,5.0,96.0,0.352,90.0,16.0,74.0,0.314
621,105,516,143,478,478.0,64.0,414.0,0.77,131.0,35.0,96.0,0.211,12.0,6.0,6.0,0.019,112.0,19.0,93.0,0.18,250.0,19.0,231.0,0.403,202331,2018-19,1610612760,140.0,18.0,122.0,0.225,118.0,49.0,69.0,0.19
219,24,195,59,160,160.0,16.0,144.0,0.731,52.0,5.0,47.0,0.237,7.0,3.0,4.0,0.032,55.0,5.0,50.0,0.251,81.0,5.0,76.0,0.37,202331,2024-25,1610612755,51.0,2.0,49.0,0.233,32.0,12.0,20.0,0.146
487,57,430,119,368,368.0,29.0,339.0,0.756,104.0,19.0,85.0,0.214,15.0,9.0,6.0,0.031,119.0,12.0,107.0,0.244,171.0,14.0,157.0,0.351,202331,2016-17,1610612754,127.0,12.0,115.0,0.261,70.0,19.0,51.0,0.144
357,45,312,72,285,285.0,28.0,257.0,0.798,68.0,14.0,54.0,0.19,4.0,3.0,1.0,0.011,88.0,12.0,76.0,0.246,141.0,9.0,132.0,0.395,202331,2020-21,1610612746,70.0,7.0,63.0,0.196,58.0,17.0,41.0,0.162
214,12,202,45,169,169.0,8.0,161.0,0.79,43.0,3.0,40.0,0.201,2.0,1.0,1.0,0.009,46.0,4.0,42.0,0.215,86.0,1.0,85.0,0.402,202331,2021-22,1610612746,52.0,0.0,52.0,0.243,30.0,7.0,23.0,0.14
438,68,370,94,344,344.0,45.0,299.0,0.785,85.0,17.0,68.0,0.194,9.0,6.0,3.0,0.021,79.0,10.0,69.0,0.18,161.0,11.0,150.0,0.368,202331,2017-18,1610612760,92.0,12.0,80.0,0.21,105.0,34.0,71.0,0.24
342,45,297,64,278,278.0,29.0,249.0,0.813,56.0,10.0,46.0,0.164,8.0,6.0,2.0,0.023,62.0,10.0,52.0,0.181,133.0,11.0,122.0,0.389,202331,2022-23,1610612746,74.0,5.0,69.0,0.216,73.0,19.0,54.0,0.213
376,37,339,91,285,285.0,14.0,271.0,0.758,84.0,19.0,65.0,0.223,7.0,4.0,3.0,0.019,88.0,8.0,80.0,0.234,143.0,8.0,135.0,0.38,202331,2023-24,1610612746,80.0,7.0,73.0,0.213,65.0,14.0,51.0,0.173
560,79,481,116,444,444.0,43.0,401.0,0.793,102.0,27.0,75.0,0.182,14.0,9.0,5.0,0.025,116.0,17.0,99.0,0.207,230.0,19.0,211.0,0.411,202331,2015-16,1610612754,111.0,11.0,100.0,0.198,102.0,31.0,71.0,0.182
273,24,249,66,207,207.0,13.0,194.0,0.758,62.0,10.0,52.0,0.227,4.0,1.0,3.0,0.015,52.0,2.0,50.0,0.19,109.0,7.0,102.0,0.399,202331,2019-20,1610612746,68.0,6.0,62.0,0.249,44.0,9.0,35.0,0.161
196,47,149,57,139,139.0,17.0,122.0,0.709,51.0,24.0,27.0,0.26,6.0,6.0,0.0,0.031,52.0,15.0,37.0,0.265,74.0,16.0,58.0,0.378,1626162,2018-19,1610612756,38.0,5.0,33.0,0.194,32.0,11.0,21.0,0.163
130,24,106,41,89,89.0,6.0,83.0,0.685,35.0,15.0,20.0,0.269,6.0,3.0,3.0,0.046,33.0,9.0,24.0,0.254,59.0,6.0,53.0,0.454,1626162,2018-19,1610612764,27.0,4.0,23.0,0.208,10.0,5.0,5.0,0.077
365,97,268,108,257,257.0,35.0,222.0,0.704,91.0,49.0,42.0,0.249,17.0,13.0,4.0,0.047,74.0,32.0,42.0,0.203,169.0,35.0,134.0,0.463,1626162,2024-25,1610612755,78.0,14.0,64.0,0.214,44.0,16.0,28.0,0.121
261,62,199,77,184,184.0,24.0,160.0,0.705,58.0,21.0,37.0,0.222,19.0,17.0,2.0,0.073,64.0,16.0,48.0,0.245,102.0,23.0,79.0,0.391,1626162,2016-17,1610612764,57.0,8.0,49.0,0.218,38.0,15.0,23.0,0.146
328,82,246,99,229,229.0,25.0,204.0,0.698,90.0,48.0,42.0,0.274,9.0,9.0,0.0,0.027,75.0,21.0,54.0,0.229,131.0,29.0,102.0,0.399,1626162,2020-21,1610612744,81.0,16.0,65.0,0.247,41.0,16.0,25.0,0.125
300,79,221,96,204,204.0,35.0,169.0,0.68,85.0,38.0,47.0,0.283,11.0,6.0,5.0,0.037,56.0,26.0,30.0,0.187,123.0,19.0,104.0,0.41,1626162,2021-22,1610612766,62.0,10.0,52.0,0.207,59.0,24.0,35.0,0.197
358,58,300,105,253,253.0,26.0,227.0,0.707,97.0,24.0,73.0,0.271,8.0,8.0,0.0,0.022,78.0,17.0,61.0,0.218,171.0,18.0,153.0,0.478,1626162,2017-18,1610612764,71.0,10.0,61.0,0.198,38.0,13.0,25.0,0.106
249,65,184,74,175,175.0,33.0,142.0,0.703,69.0,27.0,42.0,0.277,5.0,5.0,0.0,0.02,36.0,12.0,24.0,0.145,102.0,23.0,79.0,0.41,1626162,2022-23,1610612766,59.0,12.0,47.0,0.237,52.0,18.0,34.0,0.209
330,93,237,86,244,244.0,35.0,209.0,0.739,71.0,47.0,24.0,0.215,15.0,11.0,4.0,0.045,71.0,27.0,44.0,0.215,137.0,32.0,105.0,0.415,1626162,2023-24,1610612755,71.0,14.0,57.0,0.215,51.0,20.0,31.0,0.155
132,25,107,43,89,89.0,7.0,82.0,0.674,41.0,17.0,24.0,0.311,2.0,1.0,1.0,0.015,33.0,7.0,26.0,0.25,60.0,8.0,52.0,0.455,1626162,2015-16,1610612764,22.0,2.0,20.0,0.167,17.0,8.0,9.0,0.129
353,67,286,85,268,268.0,29.0,239.0,0.759,71.0,28.0,43.0,0.201,14.0,10.0,4.0,0.04,70.0,25.0,45.0,0.198,168.0,16.0,152.0,0.476,1626162,2019-20,1610612756,75.0,9.0,66.0,0.212,40.0,17.0,23.0,0.113
60,12,48,11,49,49.0,9.0,40.0,0.817,10.0,2.0,8.0,0.167,1.0,1.0,0.0,0.017,6.0,2.0,4.0,0.1,16.0,1.0,15.0,0.267,1630288,2024-25,1610612755,16.0,1.0,15.0,0.267,22.0,8.0,14.0,0.367
18,3,15,1,17,17.0,2.0,15.0,0.944,1.0,1.0,0.0,0.056,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.056,5.0,1.0,4.0,0.278,1630288,2023-24,1610612755,7.0,0.0,7.0,0.389,5.0,2.0,3.0,0.278
11,7,4,2,9,9.0,5.0,4.0,0.818,1.0,1.0,0.0,0.091,1.0,1.0,0.0,0.091,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.182,1630288,2021-22,1610612753,2.0,1.0,1.0,0.182,7.0,5.0,2.0,0.636
7,1,6,2,5,5.0,1.0,4.0,0.714,2.0,0.0,2.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.143,1630288,2021-22,1610612744,3.0,0.0,3.0,0.429,3.0,1.0,2.0,0.429
23,6,17,5,18,18.0,5.0,13.0,0.783,5.0,1.0,4.0,0.217,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.043,5.0,1.0,4.0,0.217,1630288,2022-23,1610612761,6.0,1.0,5.0,0.261,11.0,4.0,7.0,0.478
68,11,57,13,55,55.0,8.0,47.0,0.809,10.0,2.0,8.0,0.147,3.0,1.0,2.0,0.044,10.0,4.0,6.0,0.147,11.0,1.0,10.0,0.162,1630215,2024-25,1610612755,16.0,1.0,15.0,0.235,31.0,5.0,26.0,0.456
41,14,27,8,33,33.0,9.0,24.0,0.805,7.0,4.0,3.0,0.171,1.0,1.0,0.0,0.024,3.0,2.0,1.0,0.073,9.0,4.0,5.0,0.22,1630215,2024-25,1610612764,9.0,4.0,5.0,0.22,20.0,4.0,16.0,0.488
57,9,48,7,50,50.0,7.0,43.0,0.877,7.0,2.0,5.0,0.123,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.018,3.0,0.0,3.0,0.053,1630215,2023-24,1610612764,26.0,2.0,24.0,0.456,27.0,6.0,21.0,0.474
45,5,40,12,33,33.0,3.0,30.0,0.733,12.0,2.0,10.0,0.267,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.067,10.0,2.0,8.0,0.222,1630215,2021-22,1610612762,14.0,1.0,13.0,0.311,18.0,1.0,17.0,0.4
4,1,3,1,3,3.0,1.0,2.0,0.75,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630215,2022-23,1610612760,3.0,1.0,2.0,0.75,1.0,0.0,1.0,0.25
211,51,160,61,150,150.0,22.0,128.0,0.711,59.0,27.0,32.0,0.28,2.0,2.0,0.0,0.009,40.0,13.0,27.0,0.19,67.0,7.0,60.0,0.318,1641741,2024-25,1610612755,59.0,11.0,48.0,0.28,45.0,20.0,25.0,0.213
44,14,30,19,25,25.0,3.0,22.0,0.568,16.0,8.0,8.0,0.364,3.0,3.0,0.0,0.068,12.0,7.0,5.0,0.273,24.0,6.0,18.0,0.545,1641741,2023-24,1610612755,4.0,0.0,4.0,0.091,3.0,1.0,2.0,0.068
17,0,17,3,14,14.0,0.0,14.0,0.824,3.0,0.0,3.0,0.176,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.118,6.0,0.0,6.0,0.353,1629022,2018-19,1610612759,6.0,0.0,6.0,0.353,3.0,0.0,3.0,0.176
63,6,57,12,51,51.0,5.0,46.0,0.81,12.0,1.0,11.0,0.19,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.063,23.0,1.0,22.0,0.365,1629022,2024-25,1610612755,18.0,0.0,18.0,0.286,18.0,4.0,14.0,0.286
155,14,141,30,125,125.0,8.0,117.0,0.806,28.0,5.0,23.0,0.181,2.0,1.0,1.0,0.013,19.0,2.0,17.0,0.123,53.0,3.0,50.0,0.342,1629022,2020-21,1610612759,47.0,2.0,45.0,0.303,36.0,7.0,29.0,0.232
180,18,162,39,141,141.0,12.0,129.0,0.783,35.0,3.0,32.0,0.194,4.0,3.0,1.0,0.022,16.0,3.0,13.0,0.089,54.0,3.0,51.0,0.3,1629022,2021-22,1610612759,60.0,2.0,58.0,0.333,50.0,10.0,40.0,0.278
109,14,95,20,89,89.0,9.0,80.0,0.817,20.0,5.0,15.0,0.183,0.0,0.0,0.0,0.0,9.0,5.0,4.0,0.083,23.0,2.0,21.0,0.211,1629022,2022-23,1610612747,35.0,0.0,35.0,0.321,42.0,7.0,35.0,0.385
120,13,107,23,97,97.0,8.0,89.0,0.808,22.0,5.0,17.0,0.183,1.0,0.0,1.0,0.008,11.0,3.0,8.0,0.092,27.0,2.0,25.0,0.225,1629022,2023-24,1610612751,40.0,2.0,38.0,0.333,42.0,6.0,36.0,0.35
136,24,112,22,114,114.0,14.0,100.0,0.838,20.0,9.0,11.0,0.147,2.0,1.0,1.0,0.015,22.0,5.0,17.0,0.162,43.0,4.0,39.0,0.316,1629022,2019-20,1610612759,48.0,6.0,42.0,0.353,23.0,9.0,14.0,0.169
26,2,24,6,20,20.0,2.0,18.0,0.769,4.0,0.0,4.0,0.154,2.0,0.0,2.0,0.077,4.0,0.0,4.0,0.154,11.0,1.0,10.0,0.423,1641720,2024-25,1610612755,5.0,0.0,5.0,0.192,6.0,1.0,5.0,0.231
1,1,0,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1641720,2024-25,1610612747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,8,2,7,7.0,0.0,7.0,0.778,1.0,0.0,1.0,0.111,1.0,1.0,0.0,0.111,3.0,1.0,2.0,0.333,4.0,0.0,4.0,0.444,1641720,2023-24,1610612747,1.0,0.0,1.0,0.111,1.0,0.0,1.0,0.111
147,46,101,47,100,100.0,26.0,74.0,0.68,43.0,17.0,26.0,0.293,4.0,3.0,1.0,0.027,15.0,9.0,6.0,0.102,53.0,13.0,40.0,0.361,1642348,2024-25,1610612755,35.0,6.0,29.0,0.238,44.0,18.0,26.0,0.299
56,13,43,15,41,41.0,9.0,32.0,0.732,15.0,4.0,11.0,0.268,0.0,0.0,0.0,0.0,8.0,1.0,7.0,0.143,15.0,3.0,12.0,0.268,1642272,2024-25,1610612755,14.0,0.0,14.0,0.25,19.0,9.0,10.0,0.339
863,158,705,312,551,551.0,48.0,503.0,0.638,260.0,74.0,186.0,0.301,52.0,36.0,16.0,0.06,291.0,65.0,226.0,0.337,424.0,64.0,360.0,0.491,203954,2018-19,1610612755,96.0,10.0,86.0,0.111,52.0,19.0,33.0,0.06
155,36,119,64,91,91.0,11.0,80.0,0.587,55.0,19.0,36.0,0.355,9.0,6.0,3.0,0.058,35.0,10.0,25.0,0.226,72.0,16.0,56.0,0.465,203954,2024-25,1610612755,34.0,5.0,29.0,0.219,14.0,5.0,9.0,0.09
238,57,181,101,137,137.0,18.0,119.0,0.576,91.0,32.0,59.0,0.382,10.0,7.0,3.0,0.042,85.0,17.0,68.0,0.357,114.0,22.0,92.0,0.479,203954,2016-17,1610612755,18.0,6.0,12.0,0.076,21.0,12.0,9.0,0.088
536,112,424,221,315,315.0,26.0,289.0,0.588,188.0,63.0,125.0,0.351,33.0,23.0,10.0,0.062,176.0,46.0,130.0,0.328,254.0,42.0,212.0,0.474,203954,2020-21,1610612755,74.0,8.0,66.0,0.138,32.0,16.0,16.0,0.06
791,143,648,324,467,467.0,33.0,434.0,0.59,272.0,74.0,198.0,0.344,52.0,36.0,16.0,0.066,258.0,67.0,191.0,0.326,389.0,51.0,338.0,0.492,203954,2021-22,1610612755,110.0,14.0,96.0,0.139,34.0,11.0,23.0,0.043
672,138,534,279,393,393.0,41.0,352.0,0.585,240.0,66.0,174.0,0.357,39.0,31.0,8.0,0.058,319.0,56.0,263.0,0.475,251.0,34.0,217.0,0.374,203954,2017-18,1610612755,62.0,25.0,37.0,0.092,40.0,23.0,17.0,0.06
670,113,557,251,419,419.0,32.0,387.0,0.625,221.0,56.0,165.0,0.33,30.0,25.0,5.0,0.045,207.0,46.0,161.0,0.309,309.0,35.0,274.0,0.461,203954,2022-23,1610612755,105.0,14.0,91.0,0.157,49.0,18.0,31.0,0.073
418,95,323,174,244,244.0,31.0,213.0,0.584,138.0,38.0,100.0,0.33,36.0,26.0,10.0,0.086,156.0,49.0,107.0,0.373,179.0,27.0,152.0,0.428,203954,2023-24,1610612755,52.0,6.0,46.0,0.124,31.0,13.0,18.0,0.074
592,141,451,207,385,385.0,49.0,336.0,0.65,180.0,67.0,113.0,0.304,27.0,25.0,2.0,0.046,205.0,52.0,153.0,0.346,271.0,50.0,221.0,0.458,203954,2019-20,1610612755,80.0,18.0,62.0,0.135,36.0,21.0,15.0,0.061
143,16,127,25,118,118.0,13.0,105.0,0.825,25.0,3.0,22.0,0.175,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.112,33.0,2.0,31.0,0.231,201569,2018-19,1610612745,34.0,3.0,31.0,0.238,60.0,11.0,49.0,0.42
45,8,37,8,37,37.0,6.0,31.0,0.822,8.0,2.0,6.0,0.178,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.044,9.0,1.0,8.0,0.2,201569,2024-25,1610612755,13.0,0.0,13.0,0.289,21.0,5.0,16.0,0.467
201,29,172,38,163,163.0,21.0,142.0,0.811,36.0,8.0,28.0,0.179,2.0,0.0,2.0,0.01,21.0,1.0,20.0,0.104,47.0,5.0,42.0,0.234,201569,2016-17,1610612745,52.0,4.0,48.0,0.259,80.0,19.0,61.0,0.398
59,8,51,9,50,50.0,6.0,44.0,0.847,8.0,2.0,6.0,0.136,1.0,0.0,1.0,0.017,3.0,0.0,3.0,0.051,9.0,0.0,9.0,0.153,201569,2020-21,1610612745,17.0,2.0,15.0,0.288,30.0,6.0,24.0,0.508
112,15,97,16,96,96.0,11.0,85.0,0.857,16.0,4.0,12.0,0.143,0.0,0.0,0.0,0.0,9.0,3.0,6.0,0.08,16.0,2.0,14.0,0.143,201569,2021-22,1610612745,28.0,1.0,27.0,0.25,59.0,9.0,50.0,0.527
168,25,143,23,145,145.0,16.0,129.0,0.863,22.0,8.0,14.0,0.131,1.0,1.0,0.0,0.006,16.0,2.0,14.0,0.095,38.0,7.0,31.0,0.226,201569,2017-18,1610612745,48.0,1.0,47.0,0.286,66.0,15.0,51.0,0.393
37,4,33,6,31,31.0,4.0,27.0,0.838,6.0,0.0,6.0,0.162,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.027,10.0,0.0,10.0,0.27,201569,2022-23,1610612746,8.0,0.0,8.0,0.216,18.0,3.0,15.0,0.486
97,12,85,8,89,89.0,10.0,79.0,0.918,7.0,2.0,5.0,0.072,1.0,0.0,1.0,0.01,1.0,0.0,1.0,0.01,11.0,3.0,8.0,0.113,201569,2022-23,1610612745,33.0,2.0,31.0,0.34,52.0,7.0,45.0,0.536
118,16,102,25,93,93.0,10.0,83.0,0.788,23.0,5.0,18.0,0.195,2.0,1.0,1.0,0.017,8.0,2.0,6.0,0.068,17.0,5.0,12.0,0.144,201569,2023-24,1610612756,35.0,0.0,35.0,0.297,58.0,9.0,49.0,0.492
99,9,90,10,89,89.0,8.0,81.0,0.899,10.0,1.0,9.0,0.101,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.071,26.0,0.0,26.0,0.263,201569,2015-16,1610612740,30.0,1.0,29.0,0.303,36.0,7.0,29.0,0.364
70,8,62,12,58,58.0,8.0,50.0,0.829,12.0,0.0,12.0,0.171,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.057,12.0,0.0,12.0,0.171,201569,2019-20,1610612745,13.0,0.0,13.0,0.186,41.0,8.0,33.0,0.586
395,134,261,147,248,248.0,58.0,190.0,0.628,134.0,66.0,68.0,0.339,13.0,10.0,3.0,0.033,86.0,36.0,50.0,0.218,173.0,47.0,126.0,0.438,1627824,2024-25,1610612755,83.0,27.0,56.0,0.21,53.0,24.0,29.0,0.134
